0,0
1,2
2,2
3,3
4,2
5,3
6,2
7,3
8,1
9,3
10,1
11,2
12,3
13,2
14,2
15,2
16,2
17,1
18,2
19,2
20,1
21,1
22,3
23,2
24,3
25,2
26,3
27,2
28,3
29,3
30,3
31,1
32,2
33,3
34,2
35,3
36,1
37,3
38,2
39,3
40,3
41,3
42,1
43,2
44,2
45,2
46,2
47,1
48,1
49,1
50,2
51,1
52,1
53,2
54,3
55,3
56,1
57,3
58,3
59,2
60,3
61,3
62,1
63,2
64,1
65,2
66,2
67,2
68,1
69,1
70,2
71,1
72,1
73,2
74,1
75,1
76,3
77,3
78,2
79,1
80,1
81,3
82,1
83,1
84,2
85,2
86,1
87,2
88,2
89,3
90,3
91,2
92,3
93,1
94,2
95,1
96,3
97,3
98,1
99,2
100,2
101,3
102,3
103,3
104,3
105,3
106,2
107,2
108,2
109,3
110,3
111,3
112,2
113,1
114,2
115,3
116,3
117,3
118,3
119,1
120,1
121,2
122,1
123,2
124,3
125,3
126,2
127,3
128,2
129,3
130,3
131,2
132,3
133,3
134,2
135,3
136,3
137,2
138,2
139,3
140,2
141,3
142,3
143,3
144,3
145,3
146,2
147,2
148,2
149,2
150,3
151,3
152,2
153,2
154,1
155,3
156,2
157,2
158,1
159,3
160,2
161,2
162,2
163,3
164,1
165,3
166,2
167,3
168,3
169,2
170,3
171,2
172,1
173,1
174,3
175,1
176,3
177,2
178,2
179,3
180,3
181,3
182,1
183,1
184,3
185,2
186,2
187,2
188,1
189,2
190,1
191,2
192,2
193,1
194,3
195,2
196,2
197,3
198,3
199,2
200,3
201,3
202,2
203,2
204,3
205,3
206,3
207,1
208,3
209,3
210,2
211,2
212,1
213,1
214,3
215,3
216,3
217,3
218,2
219,2
220,3
221,3
222,2
223,2
224,2
225,2
226,3
227,2
228,3
229,3
230,3
231,2
232,3
233,3
234,3
235,3
236,2
237,3
238,2
239,2
240,2
241,1
242,1
243,2
244,3
245,2
246,2
247,3
248,3
249,2
250,2
251,2
252,3
253,1
254,1
255,2
256,3
257,3
258,1
259,3
260,1
261,2
262,3
263,1
264,3
265,3
266,3
267,2
268,1
269,2
270,2
271,3
272,3
273,2
274,2
275,2
276,3
277,3
278,3
279,2
280,1
281,2
282,3
283,1
284,2
285,3
286,3
287,3
288,2
289,3
290,1
291,1
292,3
293,2
294,2
295,2
296,2
297,3
298,3
299,3
300,2
301,2
302,2
303,1
304,2
305,3
306,3
307,2
308,2
309,1
310,3
311,3
312,3
313,1
314,3
315,3
316,3
317,3
318,2
319,2
320,3
321,3
322,2
323,2
324,3
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,3
333,3
334,1
335,1
336,3
337,2
338,3
339,3
340,3
341,2
342,1
343,3
344,3
345,2
346,1
347,2
348,1
349,2
350,2
351,3
352,2
353,2
354,3
355,3
356,3
357,3
358,2
359,2
360,3
361,1
362,3
363,3
364,1
365,3
366,1
367,3
368,2
369,2
370,2
371,3
372,2
373,1
374,3
375,1
376,3
377,3
378,2
379,2
380,2
381,2
382,2
383,3
384,2
385,1
386,1
387,1
388,3
389,2
390,3
391,1
392,1
393,3
394,3
395,3
396,3
397,3
398,2
399,3
400,3
401,3
402,3
403,2
404,3
405,2
406,2
407,2
408,3
409,3
410,3
411,1
412,1
413,3
414,3
415,2
416,1
417,3
418,3
419,3
420,1
421,2
422,2
423,2
424,3
425,3
426,2
427,2
428,1
429,3
430,2
431,3
432,2
433,2
434,2
435,1
436,2
437,2
438,2
439,2
440,2
441,2
442,1
443,3
1110,0
